2010-07-14-16:42:00.000-06:00I----- HPDRA0387I   pdweb.http statistics report
2010-07-14-16:42:00.000-06:00I----- pdweb.http reqs	 : 8
2010-07-14-16:42:00.000-06:00I----- pdweb.http max-worker	 : 2:17.900
2010-07-14-16:42:00.000-06:00I----- pdweb.http avg-worker	 : 20.284
2010-07-14-16:42:00.000-06:00I----- pdweb.http total-worker	 : 2:42.278
2010-07-14-16:42:00.000-06:00I----- pdweb.http max-webseal	 : 2:17.900
2010-07-14-16:42:00.000-06:00I----- pdweb.http avg-webseal	 : 20.283
2010-07-14-16:42:00.000-06:00I----- pdweb.http total-webseal	 : 2:42.269
2010-07-14-16:43:00.000-06:00I----- HPDRA0387I   pdweb.http statistics report
2010-07-14-16:43:00.000-06:00I----- pdweb.http reqs	 : 10
2010-07-14-16:43:00.000-06:00I----- pdweb.http max-worker	 : 2:17.900
2010-07-14-16:43:00.000-06:00I----- pdweb.http avg-worker	 : 16.243
2010-07-14-16:43:00.000-06:00I----- pdweb.http total-worker	 : 2:42.439
2010-07-14-16:43:00.000-06:00I----- pdweb.http max-webseal	 : 2:17.900
2010-07-14-16:43:00.000-06:00I----- pdweb.http avg-webseal	 : 16.243
2010-07-14-16:43:00.000-06:00I----- pdweb.http total-webseal	 : 2:42.430
2010-07-14-16:44:00.000-06:00I----- HPDRA0387I   pdweb.http statistics report
2010-07-14-16:44:00.000-06:00I----- pdweb.http reqs	 : 16
2010-07-14-16:44:00.000-06:00I----- pdweb.http max-worker	 : 2:17.900
2010-07-14-16:44:00.000-06:00I----- pdweb.http avg-worker	 : 10.160
2010-07-14-16:44:00.000-06:00I----- pdweb.http total-worker	 : 2:42.569
2010-07-14-16:44:00.000-06:00I----- pdweb.http max-webseal	 : 2:17.900
2010-07-14-16:44:00.000-06:00I----- pdweb.http avg-webseal	 : 10.160
2010-07-14-16:44:00.000-06:00I----- pdweb.http total-webseal	 : 2:42.560
2010-07-14-16:45:00.000-06:00I----- HPDRA0387I   pdweb.http statistics report
2010-07-14-16:45:00.000-06:00I----- pdweb.http reqs	 : 18
2010-07-14-16:45:00.000-06:00I----- pdweb.http max-worker	 : 2:17.900
2010-07-14-16:45:00.000-06:00I----- pdweb.http avg-worker	 : 9.034
2010-07-14-16:45:00.000-06:00I----- pdweb.http total-worker	 : 2:42.622
2010-07-14-16:45:00.000-06:00I----- pdweb.http max-webseal	 : 2:17.900
2010-07-14-16:45:00.000-06:00I----- pdweb.http avg-webseal	 : 9.034
2010-07-14-16:45:00.000-06:00I----- pdweb.http total-webseal	 : 2:42.613
2010-07-14-16:46:00.000-06:00I----- HPDRA0387I   pdweb.http statistics report
2010-07-14-16:46:00.000-06:00I----- pdweb.http reqs	 : 18
2010-07-14-16:46:00.000-06:00I----- pdweb.http max-worker	 : 2:17.900
2010-07-14-16:46:00.000-06:00I----- pdweb.http avg-worker	 : 9.034
2010-07-14-16:46:00.000-06:00I----- pdweb.http total-worker	 : 2:42.622
2010-07-14-16:46:00.000-06:00I----- pdweb.http max-webseal	 : 2:17.900
2010-07-14-16:46:00.000-06:00I----- pdweb.http avg-webseal	 : 9.034
2010-07-14-16:46:00.000-06:00I----- pdweb.http total-webseal	 : 2:42.613
2010-07-14-16:47:00.000-06:00I----- HPDRA0387I   pdweb.http statistics report
2010-07-14-16:47:00.000-06:00I----- pdweb.http reqs	 : 18
2010-07-14-16:47:00.000-06:00I----- pdweb.http max-worker	 : 2:17.900
2010-07-14-16:47:00.000-06:00I----- pdweb.http avg-worker	 : 9.034
2010-07-14-16:47:00.000-06:00I----- pdweb.http total-worker	 : 2:42.622
2010-07-14-16:47:00.000-06:00I----- pdweb.http max-webseal	 : 2:17.900
2010-07-14-16:47:00.000-06:00I----- pdweb.http avg-webseal	 : 9.034
2010-07-14-16:47:00.000-06:00I----- pdweb.http total-webseal	 : 2:42.613
2010-07-14-16:48:00.000-06:00I----- HPDRA0387I   pdweb.http statistics report
2010-07-14-16:48:00.000-06:00I----- pdweb.http reqs	 : 23
2010-07-14-16:48:00.000-06:00I----- pdweb.http max-worker	 : 2:17.900
2010-07-14-16:48:00.000-06:00I----- pdweb.http avg-worker	 : 8.434
2010-07-14-16:48:00.000-06:00I----- pdweb.http total-worker	 : 3:05.552
2010-07-14-16:48:00.000-06:00I----- pdweb.http max-webseal	 : 2:17.900
2010-07-14-16:48:00.000-06:00I----- pdweb.http avg-webseal	 : 8.433
2010-07-14-16:48:00.000-06:00I----- pdweb.http total-webseal	 : 3:05.543
2010-07-14-16:49:00.000-06:00I----- HPDRA0387I   pdweb.http statistics report
2010-07-14-16:49:00.000-06:00I----- pdweb.http reqs	 : 23
2010-07-14-16:49:00.000-06:00I----- pdweb.http max-worker	 : 2:17.900
2010-07-14-16:49:00.000-06:00I----- pdweb.http avg-worker	 : 8.434
2010-07-14-16:49:00.000-06:00I----- pdweb.http total-worker	 : 3:05.552
2010-07-14-16:49:00.000-06:00I----- pdweb.http max-webseal	 : 2:17.900
2010-07-14-16:49:00.000-06:00I----- pdweb.http avg-webseal	 : 8.433
2010-07-14-16:49:00.000-06:00I----- pdweb.http total-webseal	 : 3:05.543
2010-07-14-16:50:00.000-06:00I----- HPDRA0387I   pdweb.http statistics report
2010-07-14-16:50:00.000-06:00I----- pdweb.http reqs	 : 26
2010-07-14-16:50:00.000-06:00I----- pdweb.http max-worker	 : 2:17.900
2010-07-14-16:50:00.000-06:00I----- pdweb.http avg-worker	 : 12.456
2010-07-14-16:50:00.000-06:00I----- pdweb.http total-worker	 : 5:23.856
2010-07-14-16:50:00.000-06:00I----- pdweb.http max-webseal	 : 2:17.900
2010-07-14-16:50:00.000-06:00I----- pdweb.http avg-webseal	 : 12.455
2010-07-14-16:50:00.000-06:00I----- pdweb.http total-webseal	 : 5:23.847
2010-07-14-16:51:00.000-06:00I----- HPDRA0387I   pdweb.http statistics report
2010-07-14-16:51:00.000-06:00I----- pdweb.http reqs	 : 26
2010-07-14-16:51:00.000-06:00I----- pdweb.http max-worker	 : 2:17.900
2010-07-14-16:51:00.000-06:00I----- pdweb.http avg-worker	 : 12.456
2010-07-14-16:51:00.000-06:00I----- pdweb.http total-worker	 : 5:23.856
2010-07-14-16:51:00.000-06:00I----- pdweb.http max-webseal	 : 2:17.900
2010-07-14-16:51:00.000-06:00I----- pdweb.http avg-webseal	 : 12.455
2010-07-14-16:51:00.000-06:00I----- pdweb.http total-webseal	 : 5:23.847
2010-07-14-16:52:00.000-06:00I----- HPDRA0387I   pdweb.http statistics report
2010-07-14-16:52:00.000-06:00I----- pdweb.http reqs	 : 26
2010-07-14-16:52:00.000-06:00I----- pdweb.http max-worker	 : 2:17.900
2010-07-14-16:52:00.000-06:00I----- pdweb.http avg-worker	 : 12.456
2010-07-14-16:52:00.000-06:00I----- pdweb.http total-worker	 : 5:23.856
