2010-07-14-16:27:00.000-06:00I----- HPDRA0386I   pdweb.authn statistics report (partial period commencing 2010-07-14-16:27:00.000-06:00I-----)
2010-07-14-16:45:00.000-06:00I----- pdweb.authn total	 : 0.015
2010-07-14-16:46:00.000-06:00I----- HPDRA0387I   pdweb.authn statistics report
2010-07-14-16:46:00.000-06:00I----- pdweb.authn pass	 : 1
2010-07-14-16:46:00.000-06:00I----- pdweb.authn fail	 : 0
2010-07-14-16:46:00.000-06:00I----- pdweb.authn pwd exp	 : 0
2010-07-14-16:46:00.000-06:00I----- pdweb.authn max	 : 0.015
2010-07-14-16:46:00.000-06:00I----- pdweb.authn avg	 : 0.015
2010-07-14-16:46:00.000-06:00I----- pdweb.authn total	 : 0.015
2010-07-14-16:47:00.000-06:00I----- HPDRA0387I   pdweb.authn statistics report
2010-07-14-16:47:00.000-06:00I----- pdweb.authn pass	 : 1
2010-07-14-16:47:00.000-06:00I----- pdweb.authn fail	 : 0
2010-07-14-16:47:00.000-06:00I----- pdweb.authn pwd exp	 : 0
2010-07-14-16:47:00.000-06:00I----- pdweb.authn max	 : 0.015
2010-07-14-16:47:00.000-06:00I----- pdweb.authn avg	 : 0.015
2010-07-14-16:47:00.000-06:00I----- pdweb.authn total	 : 0.015
2010-07-14-16:48:00.000-06:00I----- HPDRA0387I   pdweb.authn statistics report
2010-07-14-16:48:00.000-06:00I----- pdweb.authn pass	 : 1
2010-07-14-16:48:00.000-06:00I----- pdweb.authn fail	 : 0
2010-07-14-16:48:00.000-06:00I----- pdweb.authn pwd exp	 : 0
2010-07-14-16:48:00.000-06:00I----- pdweb.authn max	 : 0.015
2010-07-14-16:48:00.000-06:00I----- pdweb.authn avg	 : 0.015
2010-07-14-16:48:00.000-06:00I----- pdweb.authn total	 : 0.015
2010-07-14-16:49:00.000-06:00I----- HPDRA0387I   pdweb.authn statistics report
2010-07-14-16:49:00.000-06:00I----- pdweb.authn pass	 : 1
2010-07-14-16:49:00.000-06:00I----- pdweb.authn fail	 : 0
2010-07-14-16:49:00.000-06:00I----- pdweb.authn pwd exp	 : 0
2010-07-14-16:49:00.000-06:00I----- pdweb.authn max	 : 0.015
2010-07-14-16:49:00.000-06:00I----- pdweb.authn avg	 : 0.015
2010-07-14-16:49:00.000-06:00I----- pdweb.authn total	 : 0.015
2010-07-14-16:50:00.000-06:00I----- HPDRA0387I   pdweb.authn statistics report
2010-07-14-16:50:00.000-06:00I----- pdweb.authn pass	 : 1
2010-07-14-16:50:00.000-06:00I----- pdweb.authn fail	 : 0
2010-07-14-16:50:00.000-06:00I----- pdweb.authn pwd exp	 : 0
2010-07-14-16:50:00.000-06:00I----- pdweb.authn max	 : 0.015
2010-07-14-16:50:00.000-06:00I----- pdweb.authn avg	 : 0.015
2010-07-14-16:50:00.000-06:00I----- pdweb.authn total	 : 0.015
2010-07-14-16:51:00.000-06:00I----- HPDRA0387I   pdweb.authn statistics report
2010-07-14-16:51:00.000-06:00I----- pdweb.authn pass	 : 1
2010-07-14-16:51:00.000-06:00I----- pdweb.authn fail	 : 0
2010-07-14-16:51:00.000-06:00I----- pdweb.authn pwd exp	 : 0
2010-07-14-16:51:00.000-06:00I----- pdweb.authn max	 : 0.015
2010-07-14-16:51:00.000-06:00I----- pdweb.authn avg	 : 0.015
2010-07-14-16:51:00.000-06:00I----- pdweb.authn total	 : 0.015
2010-07-14-16:52:00.000-06:00I----- HPDRA0387I   pdweb.authn statistics report
2010-07-14-16:52:00.000-06:00I----- pdweb.authn pass	 : 1
2010-07-14-16:52:00.000-06:00I----- pdweb.authn fail	 : 0
2010-07-14-16:52:00.000-06:00I----- pdweb.authn pwd exp	 : 0
2010-07-14-16:52:00.000-06:00I----- pdweb.authn max	 : 0.015
2010-07-14-16:52:00.000-06:00I----- pdweb.authn avg	 : 0.015
2010-07-14-16:52:00.000-06:00I----- pdweb.authn total	 : 0.015
2010-07-14-16:53:00.000-06:00I----- HPDRA0387I   pdweb.authn statistics report
2010-07-14-16:53:00.000-06:00I----- pdweb.authn pass	 : 7
2010-07-14-16:53:00.000-06:00I----- pdweb.authn fail	 : 0
2010-07-14-16:53:00.000-06:00I----- pdweb.authn pwd exp	 : 0
2010-07-14-16:53:00.000-06:00I----- pdweb.authn max	 : 0.015
2010-07-14-16:53:00.000-06:00I----- pdweb.authn avg	 : 0.003
2010-07-14-16:53:00.000-06:00I----- pdweb.authn total	 : 0.027
2010-07-14-16:54:00.000-06:00I----- HPDRA0387I   pdweb.authn statistics report
2010-07-14-16:54:00.000-06:00I----- pdweb.authn pass	 : 29
2010-07-14-16:54:00.000-06:00I----- pdweb.authn fail	 : 0
2010-07-14-16:54:00.000-06:00I----- pdweb.authn pwd exp	 : 0
2010-07-14-16:54:00.000-06:00I----- pdweb.authn max	 : 0.015
2010-07-14-16:54:00.000-06:00I----- pdweb.authn avg	 : 0.002
2010-07-14-16:54:00.000-06:00I----- pdweb.authn total	 : 0.060
2010-07-14-16:55:00.000-06:00I----- HPDRA0387I   pdweb.authn statistics report
2010-07-14-16:55:00.000-06:00I----- pdweb.authn pass	 : 46
2010-07-14-16:55:00.000-06:00I----- pdweb.authn fail	 : 0
2010-07-14-16:55:00.000-06:00I----- pdweb.authn pwd exp	 : 0
2010-07-14-16:55:00.000-06:00I----- pdweb.authn max	 : 0.015
2010-07-14-16:55:00.000-06:00I----- pdweb.authn avg	 : 0.001
2010-07-14-16:55:00.000-06:00I----- pdweb.authn total	 : 0.088
2010-07-14-16:56:00.000-06:00I----- HPDRA0387I   pdweb.authn statistics report
2010-07-14-16:56:00.000-06:00I----- pdweb.authn pass	 : 53
2010-07-14-16:56:00.000-06:00I----- pdweb.authn fail	 : 0
2010-07-14-16:56:00.000-06:00I----- pdweb.authn pwd exp	 : 0
2010-07-14-16:56:00.000-06:00I----- pdweb.authn max	 : 0.015
2010-07-14-16:56:00.000-06:00I----- pdweb.authn avg	 : 0.001
2010-07-14-16:56:00.000-06:00I----- pdweb.authn total	 : 0.100
2010-07-14-16:57:00.000-06:00I----- HPDRA0387I   pdweb.authn statistics report
2010-07-14-16:57:00.000-06:00I----- pdweb.authn pass	 : 74
2010-07-14-16:57:00.000-06:00I----- pdweb.authn fail	 : 0
2010-07-14-16:57:00.000-06:00I----- pdweb.authn pwd exp	 : 0
2010-07-14-16:57:00.000-06:00I----- pdweb.authn max	 : 0.015
2010-07-14-16:57:00.000-06:00I----- pdweb.authn avg	 : 0.001
2010-07-14-16:57:00.000-06:00I----- pdweb.authn total	 : 0.134
2010-07-14-16:58:00.000-06:00I----- HPDRA0387I   pdweb.authn statistics report
2010-07-14-16:58:00.000-06:00I----- pdweb.authn pass	 : 96
2010-07-14-16:58:00.000-06:00I----- pdweb.authn fail	 : 0
2010-07-14-16:58:00.000-06:00I----- pdweb.authn pwd exp	 : 0
2010-07-14-16:58:00.000-06:00I----- pdweb.authn max	 : 0.015
2010-07-14-16:58:00.000-06:00I----- pdweb.authn avg	 : 0.001
2010-07-14-16:58:00.000-06:00I----- pdweb.authn total	 : 0.167
2010-07-14-16:59:00.000-06:00I----- HPDRA0387I   pdweb.authn statistics report
2010-07-14-16:59:00.000-06:00I----- pdweb.authn pass	 : 118
2010-07-14-16:59:00.000-06:00I----- pdweb.authn fail	 : 0
2010-07-14-16:59:00.000-06:00I----- pdweb.authn pwd exp	 : 0
